theta,I
487.9,74.93
487.9,75.02
487.9,74.97
487.9,74.9
487.9,75.09
487.9,74.95
487.9,74.81
487.9,74.95
487.9,75.05
487.9,74.97
487.9,75.01
487.9,75.03
487.9,74.93
487.9,74.92
487.9,74.78
487.9,74.67
487.9,74.81
487.9,74.64
488,73.88
489.2,62.09
490.6,49.71
491.4,44.93
492.6,39.13
494.4,33.89
496.3,34.23
497.6,38.08
498.9,43.59
500.2,52.34
501.4,62.87
502.6,74.12
504,91.33
505.3,109.94
506.5,127.03
507.3,142.22
507.9,152.48
508.4,163.42
509.2,176.73
510,195.23
510.8,210.52
511.7,230.23
512.6,252.63
513.2,266.09
513.8,283.1
514.3,296.95
514.7,308.28
515.1,318.61
515.5,329.36
515.8,337.24
515.8,338.32
515.8,338.44
515.8,338.46
515.8,338.29
515.8,338.52
515.8,338.62
515.8,338.68
515.8,338.63
515.8,338.42
515.8,338.42
515.8,338.64
515.8,338.63
515.8,338.75
515.8,338.69
515.8,338.64
515.8,338.41
515.8,338.53
515.8,338.67
515.8,338.88
515.8,338.59
